,Year_Birth,Income,Kidhome,Teenhome,Recency,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Spent,Education_2n Cycle,Education_Basic,Education_Graduation,Education_Master,Education_PhD,Marital_Status_Absurd,Marital_Status_Alone,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Together,Marital_Status_Widow,Marital_Status_YOLO
0,1970.784314,83013.333333,0.058824,0.098039,45.0,0.960784,5.588235,6.941176,7.901961,3.176471,0.215686,0.470588,0.882353,0.901961,0.196078,0.0,0.803922,1716.362745,0.0,0.0,1.0,0.0,-0.0,0.019608,0.0,0.137255,0.45098,0.137255,0.235294,0.019608,0.0
1,1969.871795,80909.25641,0.051282,0.179487,42.153846,1.102564,5.641026,5.666667,7.512821,3.589744,0.179487,0.666667,0.923077,0.589744,0.153846,0.0,0.923077,1496.179487,0.076923,0.0,0.0,0.410256,0.512821,0.0,0.0,0.025641,0.615385,0.128205,0.128205,0.102564,0.0
2,1965.65,68677.03,0.05,0.62,53.75,2.41,5.89,5.14,8.48,4.33,0.05,0.11,0.11,0.03,0.02,0.0,0.09,1134.26,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.9,0.0,-0.0,0.1,0.0
3,1966.592308,68514.503846,0.038462,0.507692,45.607692,2.046154,5.769231,4.707692,8.346154,3.776923,0.046154,0.076923,0.130769,0.107692,0.023077,0.023077,0.084615,1093.192308,0.0,-0.0,1.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,1.0,0.0,-0.0
4,1966.492228,65898.896373,0.067358,0.668394,50.11399,2.331606,5.533679,4.145078,8.279793,4.145078,0.051813,0.11399,0.067358,0.062176,0.005181,0.010363,0.036269,968.051813,0.0,-0.0,1.0,-0.0,-0.0,0.0,0.0,-0.0,1.0,0.0,-0.0,-0.0,0.0
5,1969.488889,56397.844444,0.4,0.222222,32.711111,2.377778,4.755556,3.844444,5.844444,5.755556,0.266667,0.066667,0.111111,0.066667,0.044444,0.022222,1.0,902.644444,0.0,-0.0,1.0,0.0,0.0,0.0,0.0,-0.0,-0.0,1.0,-0.0,0.0,0.0
6,1969.25,57944.722222,0.25,0.361111,31.944444,2.555556,5.277778,3.305556,6.388889,5.388889,0.138889,0.111111,0.138889,0.194444,0.0,0.027778,1.0,880.805556,0.0,0.0,0.0,0.0,1.0,0.0,0.027778,0.0,-0.0,0.805556,-0.0,0.138889,0.027778
7,1968.790909,51553.809091,0.518182,0.436364,49.227273,2.136364,3.954545,2.536364,5.9,5.363636,0.036364,0.063636,0.036364,0.027273,0.0,0.009091,0.181818,659.509091,0.0,0.0,0.0,1.0,0.0,0.009091,0.009091,0.336364,-0.0,0.645455,-0.0,0.0,-0.0
8,1960.465116,54290.186047,0.302326,0.651163,48.488372,2.465116,4.325581,2.906977,6.0,5.046512,0.046512,0.116279,0.023256,0.046512,0.0,0.0,0.186047,659.093023,0.0,0.0,0.790698,0.209302,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,1.0,0.0
9,1965.230088,54821.924779,0.415929,0.637168,50.185841,2.088496,4.088496,2.849558,5.982301,5.336283,0.106195,0.061947,0.026549,0.026549,0.026549,0.0,0.079646,641.159292,0.0,0.0,0.0,-0.0,1.0,-0.0,0.0,0.0,-0.0,0.0,1.0,0.0,-0.0
